"SAMPLE","Group","var_01","var_02","var_03","var_04","var_05","var_06","var_07","var_08","var_09","var_10","var_11","var_12","var_13","var_14","var_15","var_16","var_17","var_18","var_19","var_20","var_21","var_22","var_23","var_24","var_25","var_26","var_27","var_28"
1,"A",3.37265225,76.0781205,3.573738196,NA,1.895567717,0.142424949,4.180464685,8.414160332,NA,NA,9.406978975,13.56035468,NA,NA,NA,4.263011817,NA,3.514758336,3.380463667,5.238602285,3.181962428,2.261357951,3.905941375,2.287855693,4.253529704,NA,9.185002019,14.32157522
2,"A",3.948516819,NA,5.753417724,6.917925263,2.600182763,0.166054933,2.239412249,32.68476369,NA,NA,6.701625504,NA,NA,2.777622842,8.879287582,NA,8.41143179,2.83024271,NA,NA,2.93998903,1.574355558,NA,2.489909661,3.250632244,120.7024651,14.98268794,17.510938
3,"A",8.036188264,176.9331328,NA,NA,4.469993232,0.40148693,6.029705891,NA,4.733036813,8.637373053,10.44287437,13.18738669,5.855012239,6.312209353,12.77223903,3.968226823,9.501233839,NA,3.31366915,5.184365288,NA,NA,4.109060257,2.152976488,5.003956371,NA,25.19537949,32.18070207
4,"B",NA,NA,NA,8.087311018,3.032153626,NA,1.998899613,14.97901656,NA,82.59892908,NA,85.26558953,10.57358257,NA,55.70538095,17.16934636,NA,NA,6.815632732,NA,NA,6.380025016,7.135256689,NA,13.017761,421.1890907,13.30751473,NA
5,"B",4.096211743,123.4639188,NA,5.664518072,NA,0.12508484,0.354241768,15.05777239,6.662796945,194.1686706,NA,74.56129927,28.93757471,20.95207506,NA,27.37912409,30.15949386,46.11568457,14.75274574,NA,NA,11.21363389,11.33945236,5.597369273,NA,NA,NA,NA
6,"B",2.445201229,48.97484397,NA,5.135623782,0.072612397,0.131082736,2.290057446,11.11409056,7.200647447,NA,NA,43.40052867,NA,12.25143673,74.19785044,10.92876734,21.07523738,19.90368277,NA,19.42240674,NA,7.177746356,7.743158582,NA,10.05782896,350.5439686,NA,NA
7,"C",NA,NA,4.06600466,NA,0.324494082,0.249323743,NA,15.57779002,5.957521474,75.93439549,22.43286916,NA,14.31306569,17.79708389,58.78994693,NA,23.86067003,19.30167318,NA,NA,NA,6.951645095,7.773936807,6.008510137,NA,423.7454058,6.992628078,12.56976515
8,"C",2.920950061,NA,3.56440919,5.410826502,0.53842961,0.100473642,4.025854848,NA,NA,NA,12.46892903,19.62796136,6.147335914,1.351287137,28.06155148,6.246985053,16.7772987,5.756143763,4.526017463,8.52812332,3.84732316,3.490605286,4.394749293,2.507659712,7.078433122,164.1628854,9.063154301,NA
9,"C",5.439361059,NA,NA,6.25121926,0.412147237,0.144098312,NA,14.78016966,9.958269575,50.0001522,24.48813081,36.56166491,NA,7.971901632,52.93915351,NA,31.515081,NA,8.909433048,22.69958171,NA,8.172571786,NA,3.994573757,NA,NA,15.51658251,NA
10,"D",NA,70.67561081,4.845335411,5.87656832,0.430655081,0.114947763,4.085891774,NA,NA,68.90894374,42.44023601,198.2068726,NA,20.26713418,64.5888728,NA,51.13562175,16.49649969,9.667951722,20.73716516,10.32113264,7.536583642,7.009628562,NA,15.4271058,652.055824,15.88011643,NA
11,"D",NA,188.8270452,8.88745515,9.166347762,NA,0.360988725,35.08809073,NA,89.19758703,106.334657,67.60042214,74.75945732,41.92119457,NA,NA,21.37491881,120.9808956,23.76547582,12.7488644,35.39071202,15.53005935,12.28078094,NA,NA,NA,961.0652999,31.81525616,NA
12,"D",10.43032827,289.8705092,NA,NA,NA,0.248292937,4.035223489,26.52715655,19.13149573,231.2716814,37.41797785,229.7481146,20.336903,30.46226588,113.6834688,NA,32.10226785,48.31856972,14.16184498,50.38231514,21.59911066,14.73674407,12.96632315,NA,12.49321211,979.8065395,10.43032827,62.36425323
13,"E",5.338089336,240.4938328,5.548152129,8.30901474,NA,0.313158907,NA,26.87523044,11.33094621,30.23302294,25.34905156,68.62299465,13.50905106,9.639500173,NA,9.310288435,22.40758275,NA,NA,14.06273514,5.0888656,NA,5.91572221,2.977665303,8.280436908,NA,22.22312842,NA
14,"E",5.2637454,326.6236053,30.27176226,31.54109293,13.57715836,0.277731784,24.28311976,21.38107304,11.66272213,40.23206132,NA,NA,10.98799596,10.06482052,42.90901225,9.482938271,NA,12.62299247,6.258348497,12.95313948,5.697349605,NA,6.022574505,NA,9.343300545,320.121478,28.29497248,99.67313331
15,"E",7.315137309,NA,15.21520612,17.46675002,4.901809174,NA,12.6163383,31.83582682,NA,NA,NA,63.21826104,13.819178,NA,NA,NA,20.83957406,11.6942975,NA,NA,5.188681463,5.5661464,6.199309332,NA,10.04146044,NA,16.49541209,50.20010361
16,"F",NA,222.5023428,NA,25.98059328,9.60729258,NA,28.93079429,43.50843524,NA,175.9698647,NA,226.6422902,49.88078499,NA,382.2864605,NA,239.7979923,34.26970471,14.78578628,36.2906427,15.71451938,9.951326952,9.387712095,NA,12.83208695,1603.010248,NA,91.75090485
17,"F",6.42747868,154.1281921,16.53755008,21.09175353,8.0212479,NA,NA,13.11008042,NA,72.02428259,17.32948658,NA,7.491945124,4.994835207,48.89286813,9.501833966,10.19595918,11.20828925,7.176958019,12.79330275,5.05851241,4.464879269,NA,NA,8.186601089,300.1901336,17.20863589,NA
18,"F",3.581812188,261.6404129,NA,15.58518244,4.795237966,0.197691805,21.10162145,29.50818552,5.302552384,321.2570772,NA,313.205311,39.20135054,NA,NA,NA,37.02831796,77.74003915,23.04493985,NA,34.51561245,35.39587503,23.82522841,NA,31.95098754,1472.996276,23.12824558,51.79837131
